iter	Accuracy	MultiClass
0	0.5414660266	1.084099912
1	0.5447490544	1.071201606
2	0.5484726041	1.059466144
3	0.5505992617	1.048948382
4	0.5506676186	1.039486067
5	0.5502536799	1.030883565
6	0.5510815573	1.02321332
7	0.5507264814	1.016077362
8	0.5521315945	1.009468375
9	0.5523727423	1.003433488
10	0.5534113867	0.9980655864
11	0.5535822789	0.9930847038
12	0.5536031657	0.988618051
13	0.5543399007	0.9843501601
14	0.5548943507	0.980348311
15	0.5551335997	0.9766609208
16	0.5560905956	0.9732540753
17	0.5563203506	0.9700558985
18	0.556603272	0.9671315369
19	0.5571254424	0.9642632703
20	0.5572963346	0.9616730228
21	0.5574121614	0.9593700191
22	0.5575811548	0.9570491341
23	0.557837493	0.9550801268
24	0.5580102839	0.9531402674
25	0.5579893971	0.951412237
26	0.5580083851	0.9496739906
27	0.5584982759	0.9481529235
28	0.5584584011	0.9466452792
29	0.5588058817	0.9452027625
30	0.5590261427	0.9437306996
31	0.5591210828	0.9424485913
32	0.5593242545	0.9412270429
33	0.5596945208	0.940179567
34	0.5597268004	0.9390493274
35	0.5599869362	0.9379915713
36	0.5600306087	0.9369601206
37	0.5602166912	0.9359927369
38	0.5603856846	0.9350639831
39	0.5607217724	0.9341863777
40	0.5609477298	0.9333297512
41	0.5611812824	0.9325515084
42	0.5612477404	0.9318093098
43	0.5615078762	0.9309846401
44	0.5617926965	0.9303383328
45	0.5619199161	0.9297040696
46	0.5620813143	0.9290714374
47	0.5623053728	0.9285124874
48	0.5624458842	0.9278143606
49	0.5625294314	0.927264603
50	0.5626851331	0.9267136192
51	0.5629053941	0.9261373708
52	0.5630572982	0.9254876777
53	0.5631142623	0.9249104364
54	0.5632547736	0.924403413
55	0.5633952849	0.9239069278
56	0.5636193435	0.9234196514
57	0.5637617536	0.92295475
58	0.5639915086	0.9225176609
59	0.5641472103	0.9219826816
60	0.564293418	0.9215438803
61	0.5643769653	0.9210628193
62	0.5644757029	0.9206062787
63	0.5646333035	0.9201904823
64	0.5648174872	0.91977929
65	0.5650130638	0.919336605
66	0.565030153	0.9189173377
67	0.565039647	0.9186172203
68	0.5652750984	0.9182375689
69	0.5654592821	0.9178639366
70	0.5655181449	0.9175578299
71	0.5657573939	0.9172094837
72	0.5658485364	0.9168388635
73	0.5659206909	0.9165202803
74	0.5661732315	0.9162771945
75	0.5663099452	0.9160106099
76	0.5663991888	0.9156809114
77	0.5664979265	0.915373629
78	0.5665472953	0.915093727
79	0.5666536282	0.9148357796
80	0.5666783126	0.914599409
81	0.5666954019	0.9142758573
82	0.5668321156	0.9140336675
83	0.5669650317	0.9136946349
84	0.5669878173	0.9134151143
85	0.5670314897	0.9132109812
86	0.5671397214	0.9130456785
87	0.5672840303	0.9128008739
88	0.5672935243	0.9125466171
89	0.5673144111	0.9123680139
90	0.5673580836	0.9121556757
91	0.5674587201	0.9119247985
92	0.5676296122	0.9116749627
93	0.5676618918	0.9114432001
94	0.5678024031	0.9111759516
95	0.5678574684	0.9109583851
96	0.5680302593	0.9107634678
97	0.5680378545	0.9106236862
98	0.5680948186	0.9104351863
99	0.5681024138	0.9102289635
100	0.5681536814	0.9100680805
101	0.5682752047	0.9099191975
102	0.5683055855	0.9097292308
103	0.5683929304	0.9095552477
104	0.5685334417	0.9093896352
105	0.5684878705	0.9091932726
106	0.5686511674	0.9090148435
107	0.5687442087	0.9088097657
108	0.5688106667	0.9086124943
109	0.568941684	0.9084230133
110	0.568970166	0.9083169861
111	0.5691220701	0.9081343781
112	0.5691467546	0.9079518243
113	0.5691790342	0.907784362
114	0.5692359982	0.907650394
115	0.5692796707	0.9075535259
116	0.569401194	0.9073534943
117	0.5695587945	0.9070849076
118	0.5696328477	0.9068951986
119	0.5696575322	0.9067744308
120	0.5696309489	0.9066361828
121	0.5697144962	0.9065055265
122	0.5698018411	0.9062957724
123	0.5697201926	0.9061052212
