iter	Passed	Remaining
0	172	86188
1	273	68090
2	392	65020
3	488	60537
4	580	57437
5	679	55952
6	784	55270
7	876	53887
8	970	52947
9	1062	52060
10	1151	51199
11	1243	50565
12	1332	49904
13	1422	49390
14	1530	49481
15	1626	49206
16	1717	48809
17	1829	48992
18	1920	48628
19	2017	48409
20	2114	48228
21	2198	47777
22	2301	47741
23	2390	47410
24	2489	47295
25	2572	46891
26	2696	47247
27	2799	47198
28	2914	47339
29	3002	47041
30	3099	46891
31	3203	46858
32	3299	46693
33	3386	46414
34	3473	46150
35	3576	46094
36	3678	46030
37	3784	46008
38	3880	45875
39	3979	45767
40	4066	45523
41	4170	45478
42	4254	45216
43	4386	45456
44	4479	45296
45	4582	45225
46	4676	45073
47	4760	44824
48	4897	45072
49	4986	44876
50	5087	44791
51	5174	44581
52	5278	44522
53	5365	44318
54	5454	44128
55	5534	43882
56	5631	43764
57	5735	43706
58	5821	43510
59	5914	43374
60	6002	43201
61	6096	43067
62	6195	42974
63	6301	42929
64	6398	42819
65	6481	42621
66	6584	42555
67	6667	42357
68	6750	42167
69	6843	42036
70	6928	41865
71	7018	41720
72	7125	41679
73	7215	41539
74	7289	41307
75	7378	41165
76	7469	41034
77	7551	40857
78	7641	40721
79	7719	40527
80	7797	40336
81	7900	40273
82	7988	40135
83	8080	40017
84	8177	39925
85	8255	39742
86	8338	39584
87	8411	39379
88	8503	39267
89	8582	39099
90	8675	38991
91	8779	38936
92	8880	38865
93	8985	38811
94	9107	38827
95	9216	38785
96	9290	38599
97	9359	38395
98	9448	38269
99	9540	38163
100	9621	38011
101	9705	37871
102	9786	37720
103	9868	37574
104	9955	37450
105	10053	37370
106	10136	37230
107	10211	37063
108	10304	36962
109	10387	36829
110	10458	36650
111	10547	36538
112	10636	36426
113	10733	36343
114	10813	36200
115	10891	36053
116	10973	35921
117	11096	35920
118	11196	35848
119	11266	35677
120	11343	35531
121	11441	35449
122	11545	35386
123	11667	35378
124	11748	35246
125	11833	35125
126	11929	35037
127	12028	34958
128	12111	34832
129	12198	34717
130	12273	34573
131	12362	34464
132	12453	34365
133	12545	34266
134	12622	34126
135	12732	34079
